playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Diego López,Centre-Back,Retired,?,36,12
Michele Canini,Centre-Back,Retired,free transfer,35,1
Antonio Chimenti,Goalkeeper,Retired,free transfer,40,2
Matteo Serafini,Centre-Forward,Retired,free transfer,41,1
Christian Riganó,Centre-Forward,Retired,-,41,0
Francesco Tavano,Centre-Forward,Tuttocuoio,free transfer,43,1
Éder,Second Striker,São Paulo,€5.70m,35,3
Ighli Vannucchi,Attacking Midfield,Retired,?,37,1
Antonio Buscè,Right Midfield,Retired,free transfer,37,1
Davide Moro,Central Midfield,Retired,free transfer,36,0
Daniele Buzzegoli,Defensive Midfield,Retired,free transfer,39,1
Fabrizio Ficini,Defensive Midfield,Retired,?,36,1
Francesco Lodi,Defensive Midfield,Catania,free transfer,38,1
Richard Vanigli,Right-Back,Retired,free transfer,41,3
Emanuel Michelotti,Left-Back,Cerretese,free transfer,34,1
Nicola Ascoli,Left-Back,Retired,?,33,1
Maxwell,Left-Back,Retired,€3.50m,36,5
Francesco Pratali,Centre-Back,Retired,free transfer,37,1
Andrea Raggi,Centre-Back,Retired,-,36,1
Andrea Coda,Centre-Back,Without Club,-,36,0
Daniele Balli,Goalkeeper,Retired,?,44,1
Gianluca Berti,Goalkeeper,Retired,?,43,1
Igor Zaniolo,Centre-Forward,Retired,?,40,1
Atsushi Yanagisawa,Centre-Forward,Retired,?,38,4
Arturo Di Napoli,Centre-Forward,Retired,?,38,1
Giuseppe Sculli,Left Winger,Retired,free transfer,38,3
Renato Bondi,Attacking Midfield,Pergolese,free transfer,36,1
Salvatore Sullo,Attacking Midfield,Retired,?,38,1
Andrea Tummiolo,Central Midfield,Chiampo,free transfer,37,2
Mamede,Central Midfield,Retired,free transfer,35,1
Antonio Nocerino,Central Midfield,Retired,-,35,1
Carmine Coppola,Central Midfield,Retired,free transfer,32,1
Gaetano D'Agostino,Central Midfield,Retired,free transfer,34,1
Massimo Donati,Defensive Midfield,Retired,free transfer,37,0
Salvatore D'Alterio,Right-Back,Retired,free transfer,40,1
Alessandro Parisi,Left-Back,Retired,-,39,1
Shadi Ghosheh,Centre-Back,Altavilla,free transfer,34,1
Andrei Agius,Centre-Back,Hibernians FC,?,28,0
Luca Fusco,Centre-Back,Retired,-,36,2
Salvatore Aronica,Centre-Back,Retired,-,37,0
Rahman Rezaei,Centre-Back,Retired,free transfer,37,1
Marco Zoro,Centre-Back,Retired,free transfer,33,0
Nicholas Caglioni,Goalkeeper,Retired,-,36,0
Andrea Pansera,Goalkeeper,Retired,?,35,2
Marco Storari,Goalkeeper,Retired,?,41,1
Henri Shiba,Centre-Forward,Torrese,free transfer,34,0
Fabio Ceravolo,Centre-Forward,Padova,€1.29m,34,2
Simone Cavalli,Centre-Forward,Retired,?,37,2
Lampros Choutos,Centre-Forward,Retired,free transfer,30,1
Rolando Bianchi,Centre-Forward,Retired,-,34,0
Emiliano Bonazzoli,Centre-Forward,Retired,free transfer,37,0
Ilyas Zeytullaev,Left Winger,Retired,-,37,4
Ivan Castiglia,Central Midfield,ASD Gallico,free transfer,34,1
Antonino Barillà,Central Midfield,Without Club,-,34,0
Filippo Carobbio,Central Midfield,Retired,-,38,3
Davide Biondini,Central Midfield,Retired,free transfer,36,1
Simone Missiroli,Central Midfield,Retired,-,36,1
Giacomo Tedesco,Central Midfield,Retired,?,37,0
Carlos Paredes,Defensive Midfield,Retired,?,39,4
Mozart,Defensive Midfield,Retired,€370Th.,31,1
Demetrio Cutrupi,Right-Back,Ludos Ravagnese,?,32,2
Juriy Cannarsa,Right-Back,Retired,?,38,2
Jacopo Balestri,Left-Back,Retired,-,42,3
Francesco Modesto,Left-Back,Retired,-,35,1
Antonio Giosa,Centre-Back,Cast Brescia,free transfer,39,1
Alessandro Zoppetti,Centre-Back,Retired,?,35,1
Maurizio Lanzaro,Centre-Back,Retired,free transfer,36,0
Marco Zamboni,Centre-Back,Pedemonte,free transfer,43,1
Gaetano De Rosa,Centre-Back,Retired,?,35,2
Ivan Franceschini,Centre-Back,Retired,free transfer,36,2
Alessandro Lucarelli,Centre-Back,Retired,€1.20m,41,10
Giuseppe Saraò,Goalkeeper,Ferrini,-,31,1
Martin Lejsal,Goalkeeper,Retired,?,29,0
Antonio Saviano,Goalkeeper,Sansovino,?,23,0
Nicola Pavarini,Goalkeeper,Retired,free transfer,40,7
Ivan Pelizzoli,Goalkeeper,Retired,-,38,1
Federico Cossato,Centre-Forward,Retired,?,36,11
Salvatore Bruno,Centre-Forward,Retired,?,42,1
Sergio Pellissier,Centre-Forward,Retired,-,43,1
Victor Obinna,Second Striker,Retired,-,31,1
Franco Semioli,Right Winger,Retired,-,36,2
Daniele Franceschini,Left Midfield,Retired,free transfer,35,1
Luciano,Right Midfield,Retired,?,37,0
Andrea Zanchetta,Central Midfield,Retired,free transfer,36,2
Matteo Brighi,Central Midfield,Retired,free transfer,38,1
Federico Giunti,Defensive Midfield,Retired,End of loan,37,0
Emiliano Landolina,midfield,Calenzano,free transfer,36,2
Fabio Moro,Right-Back,Retired,free transfer,35,10
Giovanni Marchese,Left-Back,Retired,-,36,3
Salvatore Lanna,Left-Back,Retired,-,36,2
Leonardo Moracci,Centre-Back,Narnese Calcio,free transfer,35,2
Maycol Andriani,Centre-Back,Ambrosiana,free transfer,35,2
Antonis Natsouras,Centre-Back,Retired,free transfer,34,0
Andrea Mantovani,Centre-Back,Retired,free transfer,35,1
Lorenzo D'Anna,Centre-Back,Retired,?,36,0
Davide Mandelli,Centre-Back,Retired,free transfer,37,2
John Mensah,Centre-Back,Retired,-,34,1
Enrico Alfonso,Goalkeeper,SPAL,free transfer,34,2
Lorenzo Squizzi,Goalkeeper,Retired,free transfer,40,9
Alberto Fontana,Goalkeeper,Retired,free transfer,42,3
Luca Saudati,Centre-Forward,Retired,-,32,1
Giuseppe Cozzolino,Centre-Forward,Sant'Anastasia,?,37,0
Graziano Pellè,Centre-Forward,Without Club,-,36,0
Mirko Vucinic,Centre-Forward,Retired,€6.30m,34,3
Babù,Right Winger,Montoro,free transfer,39,0
Axel Konan,Left Winger,Retired,-,30,0
Carlo Vicedomini,Central Midfield,Barletta,free transfer,36,0
Cristian Agnelli,Central Midfield,Retired,free transfer,37,1
Davide Giorgino,Central Midfield,Without Club,free transfer,37,1
Gennaro Delvecchio,Central Midfield,Retired,-,36,0
Jaime Valdés,Central Midfield,Wanderers,free transfer,41,1
Drissa Diarra,Defensive Midfield,FC Otranto,-,32,0
Guillermo Giacomazzi,Defensive Midfield,Retired,free transfer,38,1
Cristian Ledesma,Defensive Midfield,Retired,-,37,0
Angelo,Right-Back,Retired,-,38,0
Marco Cassetti,Right-Back,Retired,-,39,1
Erminio Rullo,Left-Back,Retired,free transfer,36,1
Andrea Esposito,Centre-Back,Latina Calcio,-,34,0
Tiziano Polenghi,Centre-Back,Retired,?,38,1
Marco Pecorari,Centre-Back,Retired,free transfer,37,5
Lorenzo Stovini,Centre-Back,Retired,-,37,1
Souleymane Diamoutene,Centre-Back,Retired,free transfer,37,1
Antonio Rosati,Goalkeeper,Retired,free transfer,39,1
Luca Anania,Goalkeeper,Retired,free transfer,34,0
Francesco Benussi,Goalkeeper,Retired,-,36,0
Vincenzo Sicignano,Goalkeeper,Retired,?,38,1
Gabriele Falchini,Centre-Forward,Pro Sorgenti,free transfer,36,1
Tomas Danilevicius,Centre-Forward,Retired,End of loan,36,0
Paulinho,Centre-Forward,Retired,free transfer,33,2
Ibrahima Bakayoko,Centre-Forward,Retired,-,37,0
Cristiano Lucarelli,Centre-Forward,Retired,End of loan,37,0
Gennaro Ruotolo,Central Midfield,Retired,free transfer,41,2
Stefano Morrone,Central Midfield,Retired,End of loan,37,0
Emmanuel Osei,Defensive Midfield,Retired,free transfer,34,3
Diego De Ascentis,Defensive Midfield,Retired,-,34,1
Alessandro Marchetti,Right-Back,Bra,free transfer,34,1
David Balleri,Right-Back,Retired,?,41,1
Stefano Argilli,Right-Back,Retired,free transfer,37,1
Matteo Melara,Right-Back,Retired,free transfer,35,2
Marc Pfertzel,Right-Back,Retired,free transfer,34,1
César Prates,Right-Back,Retired,free transfer,36,1
Andrea Giallombardo,Left-Back,Retired,-,38,3
Francesco Coco,Left-Back,Retired,End of loan,30,0
Stefano Fanucci,Centre-Back,Retired,free transfer,32,0
Fabio Galante,Centre-Back,Retired,-,37,6
Jorge Vargas,Centre-Back,Retired,?,37,2
Paolo Acerbis,Goalkeeper,Tritium,free transfer,41,1
Marco Amelia,Goalkeeper,Retired,-,35,0
Daniele Paponi,Centre-Forward,Bari,-,33,1
Gaetano Grieco,Centre-Forward,Unknown,free transfer,36,1
Francesco Ruopolo,Centre-Forward,Retired,free transfer,36,0
Marco Delvecchio,Centre-Forward,Retired,-,37,2
Alessandro Rosina,Right Winger,Retired,free transfer,36,4
Andrea Pisanu,Right Midfield,Retired,End of loan,33,0
Marco Marchionni,Right Midfield,Retired,free transfer,38,1
Matteo Mandorlini,Central Midfield,Flaminia,-,34,1
Filippo Savi,Central Midfield,Retired,free transfer,34,3
Daniele Dessena,Central Midfield,Virtus Entella,free transfer,34,0
Jorge Bolaño,Central Midfield,Retired,-,36,3
Mark Bresciano,Central Midfield,Retired,-,36,1
Fábio Simplício,Central Midfield,Retired,-,37,0
Luca Cigarini,Defensive Midfield,Reggiana,-,35,0
Giuseppe Cardone,Right-Back,Retired,?,35,1
Ibrahima Camara,Left-Back,Retired,?,31,0
Giovanni Pasquale,Left-Back,Retired,End of loan,34,2
Alessandro Bernardini,Centre-Back,Retired,-,33,1
Francesco Pambianchi,Centre-Back,Casarano,free transfer,33,0
Fernando Couto,Centre-Back,Retired,free transfer,39,3
Mirko Stefani,Centre-Back,Retired,free transfer,38,7
Damiano Ferronetti,Centre-Back,Rivignano,-,33,2
Sebastiano Siviglia,Centre-Back,Retired,?,37,6
Paolo Cannavaro,Centre-Back,Retired,€1Th.,37,4
Daniele Bonera,Centre-Back,Retired,free transfer,38,4
Alfonso De Lucia,Goalkeeper,Retired,-,33,1
Luca Bucci,Goalkeeper,Retired,-,40,0
Matteo Guardalben,Goalkeeper,Retired,free transfer,38,2
Fabio Bazzani,Centre-Forward,Retired,free transfer,39,5
Vitali Kutuzov,Centre-Forward,Retired,€1.20m,32,3
Francesco Flachi,Centre-Forward,Praese,-,47,1
Mattia Marchesetti,Left Winger,US Colognese,free transfer,37,1
Lamberto Zauli,Attacking Midfield,Retired,free transfer,38,0
Danilo Soddimo,Left Midfield,San Basilio,-,35,1
Paolo Castellazzi,Central Midfield,Unknown,-,26,1
Samuele Dalla Bona,Central Midfield,Retired,free transfer,31,1
Sergio Volpi,Central Midfield,Retired,free transfer,37,1
Angelo Palombo,Defensive Midfield,Retired,End of loan,36,5
Ignazio Abate,Right-Back,Retired,-,34,1
Cristian Zenoni,Right-Back,Retired,-,36,1
Marco Pisano,Left-Back,Retired,?,33,0
Alessandro Bastrini,Centre-Back,Colorno,-,35,1
Simone Pavan,Centre-Back,Retired,-,35,0
Marcello Castellini,Centre-Back,Retired,free transfer,36,3
Mark Iuliano,Centre-Back,Retired,-,35,0
Francesco Antonioli,Goalkeeper,Retired,-,44,1
Simone Inzaghi,Centre-Forward,Retired,End of loan,34,2
Roberto Muzzi,Centre-Forward,Retired,free transfer,38,2
Tommaso Rocchi,Centre-Forward,Retired,free transfer,39,1
Roberto Delgado,Second Striker,Campus Eur,free transfer,36,2
Christian Manfredini,Left Winger,Retired,?,38,0
Stefano Mauri,Attacking Midfield,Retired,-,37,0
César,Left Midfield,Retired,-,36,1
Fabrizio Melara,Right Midfield,S. Marinella,-,36,1
Fabio Firmani,Central Midfield,Retired,free transfer,34,1
Dino Baggio,Defensive Midfield,Retired,free transfer,35,1
