position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Central Midfield,Retired,free transfer,38,12,25,22,29,0
Defensive Midfield,Retired,free transfer,35,1,5,9,21,0
Right-Back,Retired,free transfer,37,1,15,25,31,0
Left-Back,Retired,free transfer,37,1,16,29,9,1
Centre-Back,Retired,free transfer,34,9,6,24,19,0
Centre-Back,Retired,free transfer,34,6,2,15,34,1
Goalkeeper,Retired,free transfer,36,7,11,1,10,0
Right Winger,Retired,free transfer,35,2,14,18,14,2
Attacking Midfield,Retired,free transfer,28,0,1,1,8,0
Second Striker,Retired,free transfer,37,2,12,34,31,1
Centre-Back,Retired,free transfer,39,2,2,1,15,1
Goalkeeper,Retired,free transfer,37,7,6,2,8,0
Goalkeeper,Retired,free transfer,40,1,4,22,21,0
Right Winger,Retired,free transfer,36,3,1,4,11,0
Right Winger,Retired,free transfer,36,1,9,31,40,0
Right Winger,Retired,free transfer,32,1,3,16,23,0
Right Winger,Retired,free transfer,37,1,4,12,27,0
Defensive Midfield,Retired,free transfer,38,1,1,14,24,0
Defensive Midfield,Retired,free transfer,35,1,18,10,27,0
Right-Back,Retired,free transfer,32,2,2,21,33,0
Right-Back,Retired,free transfer,36,4,3,7,44,0
Left-Back,Retired,free transfer,35,1,2,20,22,0
Goalkeeper,Retired,free transfer,36,3,0,16,20,0
Centre-Forward,Retired,free transfer,33,2,20,24,26,1
Centre-Forward,Retired,free transfer,37,1,15,7,2,0
Central Midfield,Retired,End of loan,32,1,4,15,37,1
Central Midfield,Retired,free transfer,36,1,19,16,18,0
Defensive Midfield,Retired,free transfer,36,6,14,16,32,1
Defensive Midfield,Retired,free transfer,37,2,19,22,18,0
Right-Back,Retired,free transfer,33,1,3,8,14,0
Centre-Back,Retired,free transfer,35,1,13,17,31,0
Centre-Back,Retired,free transfer,36,1,8,18,15,4
Goalkeeper,Retired,free transfer,38,5,5,3,34,2
Centre-Forward,Retired,free transfer,39,5,23,34,38,0
Centre-Forward,Retired,free transfer,35,1,17,8,35,1
Centre-Forward,Retired,free transfer,36,1,11,11,28,4
Attacking Midfield,Retired,free transfer,36,1,3,21,32,0
Right Midfield,Retired,free transfer,34,6,2,23,34,0
Defensive Midfield,Retired,free transfer,34,3,36,36,36,0
Right-Back,Retired,free transfer,35,2,14,18,29,1
Attacking Midfield,Retired,free transfer,39,6,34,32,32,1
Right Midfield,Retired,free transfer,33,1,24,17,32,1
Central Midfield,Retired,free transfer,39,1,13,15,27,0
Central Midfield,Retired,free transfer,31,1,7,29,30,1
Defensive Midfield,Retired,free transfer,38,2,22,41,20,1
Left-Back,Retired,free transfer,31,1,9,10,9,4
Left-Back,Retired,free transfer,36,1,14,19,18,0
Centre-Back,Retired,free transfer,36,1,22,36,37,0
Centre-Back,Retired,free transfer,33,1,10,29,31,0
Centre-Back,Retired,free transfer,36,1,0,9,26,0
Left-Back,Retired,free transfer,35,2,18,28,22,1
Centre-Back,Retired,free transfer,33,2,12,13,16,2
Centre-Back,Retired,free transfer,35,1,10,21,31,2
Centre-Back,Retired,End of loan,33,5,23,5,25,0
Centre-Back,Retired,free transfer,39,4,33,33,27,0
Goalkeeper,Retired,free transfer,40,3,2,10,8,1
Attacking Midfield,Retired,free transfer,35,8,1,5,22,3
Right Midfield,Retired,free transfer,34,4,3,6,13,0
Central Midfield,Retired,free transfer,32,1,15,23,29,0
Central Midfield,Retired,free transfer,35,1,22,33,33,0
Central Midfield,Retired,free transfer,38,5,35,34,41,0
Defensive Midfield,Retired,free transfer,34,2,0,11,31,0
Defensive Midfield,Retired,free transfer,33,1,4,12,18,1
Right Winger,Retired,free transfer,32,2,26,34,34,0
Attacking Midfield,Retired,free transfer,37,1,23,13,38,5
Left Midfield,Retired,free transfer,34,3,8,20,28,0
Defensive Midfield,Retired,free transfer,36,2,25,12,21,3
Defensive Midfield,Retired,free transfer,39,2,22,20,46,0
Defensive Midfield,Retired,free transfer,33,1,25,34,24,0
Right-Back,Retired,free transfer,33,2,14,29,4,2
Left-Back,Retired,free transfer,36,1,33,38,25,0
Centre-Back,Retired,free transfer,33,1,2,13,28,3
Centre-Back,Retired,free transfer,34,2,1,14,19,1
Centre-Back,Retired,free transfer,38,1,10,25,11,0
Centre-Back,Retired,free transfer,36,1,3,37,30,0
Centre-Back,Retired,free transfer,36,3,10,16,20,2
Goalkeeper,Retired,free transfer,35,1,2,8,1,0
Goalkeeper,Retired,free transfer,37,1,3,18,30,0
Goalkeeper,Retired,free transfer,36,5,0,0,21,1
Centre-Forward,Retired,free transfer,32,1,17,35,31,3
Second Striker,Retired,free transfer,36,1,13,29,40,2
Centre-Forward,Retired,free transfer,35,2,2,18,20,1
Second Striker,Retired,free transfer,38,1,22,22,47,1
Attacking Midfield,Retired,free transfer,34,1,15,26,31,3
Central Midfield,Retired,free transfer,35,1,3,37,30,1
Right-Back,Retired,free transfer,34,1,4,9,35,3
Right-Back,Retired,free transfer,32,1,10,13,28,0
Goalkeeper,Retired,free transfer,39,5,42,31,43,1
Centre-Forward,Retired,free transfer,38,1,18,29,30,4
Attacking Midfield,Retired,free transfer,36,3,8,25,20,0
Attacking Midfield,Retired,free transfer,38,3,13,28,42,3
Central Midfield,Retired,free transfer,39,4,18,28,26,1
Defensive Midfield,Retired,free transfer,35,2,4,25,9,1
Defensive Midfield,Retired,free transfer,36,1,26,17,40,1
Left-Back,Retired,free transfer,37,2,20,23,36,0
Left-Back,Retired,free transfer,36,1,16,30,22,1
Left-Back,Retired,free transfer,35,3,33,38,38,0
Goalkeeper,Retired,free transfer,35,1,8,5,34,3
Centre-Forward,Retired,free transfer,35,1,25,23,27,0
Centre-Back,Retired,free transfer,33,1,5,15,28,3
Centre-Back,Retired,free transfer,35,1,5,7,14,0
Centre-Back,Retired,free transfer,35,4,26,28,30,0
Goalkeeper,Retired,free transfer,40,1,11,2,24,1
Goalkeeper,Retired,free transfer,35,1,0,8,6,1
Defensive Midfield,Retired,free transfer,33,3,23,28,27,0
Defensive Midfield,Retired,free transfer,34,1,7,13,10,0
Defensive Midfield,Retired,free transfer,39,1,22,30,32,3
Centre-Back,Retired,free transfer,34,1,10,13,29,3
Defensive Midfield,Retired,free transfer,34,1,12,33,23,0
Right-Back,Retired,free transfer,35,1,8,5,31,3
Left-Back,Retired,free transfer,35,2,10,18,12,0
Centre-Back,Retired,free transfer,33,1,10,21,19,2
Centre-Back,Retired,free transfer,34,2,19,26,33,0
Centre-Forward,Retired,free transfer,34,1,2,15,2,0
Attacking Midfield,Retired,free transfer,37,1,8,13,23,1
Right Midfield,Retired,free transfer,36,4,26,31,39,3
Right Midfield,Retired,free transfer,33,1,15,15,31,0
Defensive Midfield,Retired,free transfer,37,1,27,26,14,0
